id;surname;name;patronymic;citizenship;date_of_birth
869;Бурдучкин;Денис;Тимофеевич;Гаити;1994-11-24
870;Горшенков;Максим;Тимофеевич;Монако;1974-01-13
871;Солопин;Николай;Валериевич;Венесуэла;1991-01-05
872;Зимина;Ольга;Андреевна;Кот-д’Ивуар;1996-05-31
873;Тиманов;Альберт;Валериевич;Непал;1972-11-05
874;Молдышкова;Алла;Яковлевна;Сербия;1972-07-06
875;Печатин;Степан;Виталиевич;Самоа;1987-10-27
876;Терешатова;Наталия;Василевна;Сальвадор;1985-06-18
877;Каблашов;Владислав;Юриевич;Чили;1999-10-23
878;Едецкая;Анна;Евгеньевна;Грузия;1994-03-17
879;Оспенников;Владислав;Андреевич;Мавритания;1988-02-15
880;Шахгеданов;Пётр;Петрович;Катар;1998-08-27
881;Подчуфаров;Николай;Андреевич;Сейшельские Острова;1991-08-19
882;Сурихин;Игорь;Вадимович;Мальдивы;1990-01-08
883;Селемзянов;Геннадий;Игоревич;ОАЭ;1996-09-11
884;Сибиченков;Андрей;Денисович;Украина;1975-06-10
885;Фокинов;Андрей;Леонидович;Шри-Ланка;1997-06-19
886;Слезкинцев;Владислав;Сергеевич;Сомали;1987-04-19
887;Кохтева;Клара;Максимовна;Финляндия;1986-11-24
888;Вышнова;Виктория;Аркадьевна;Чад;1973-03-27
889;Брухов;Илья;Михаилович;Бангладеш;1975-06-10
890;Гдагазина;Галина;Федоровна;Алжир;1993-02-14
891;Газитова;Клавдия;Яковлевна;Швеция;1999-11-18
892;Саулов;Виталий;Павлович;Грузия;1991-09-12
893;Буянкова;Светлана;Яковлевна;Иордания;1982-11-04
894;Сафронова;Светлана;Эдуардовна;Судан;1994-03-03
895;Мугунова;Наталия;Андреевна;Филиппины;1980-10-12
896;Замалаева;Ольга;Яковлевна;Панама;1982-07-23
897;Севоров;Николай;Викторович;Гватемала;1999-01-29
898;Битимов;Виктор;Андреевич;Гвинея;1980-08-11
899;Поляхов;Аркадий;Викторович;Перу;1996-08-14
900;Абхазова;Карина;Богдановна;Гватемала;1983-05-04
901;Любавшина;Екатерина;Федоровна;Египет;1988-11-21
902;Скрипулина;Жанна;Аркадьевна;КНДР;1996-10-13
903;Лабунов;Герасим;Яковлевич;Чили;1978-09-12
904;Скучаев;Артём;Викторович;Габон;1985-02-15
905;Мкартынов;Степан;Адамович;Гана;1985-12-22
906;Хомутецкая;Юлия;Алексеевна;Центральноафриканская Республика;1974-08-06
907;Дреннова;Светлана;Викторовна;Бахрейн;1986-08-19
908;Шавелина;Алиса;Олеговна;Сан-Марино;1979-09-24
909;Дидигова;Раиса;Михайловна;Кувейт;1977-05-03
910;Богинова;Инна;Дмитриевна;Сальвадор;1984-10-02
911;Ханина;Кира;Василевна;Республика Конго;1985-11-11
912;Кордычева;Людмила;Вадимовна;Бруней;1972-01-26
913;Шигалов;Аркадий;Викторович;Китай;1980-12-21
914;Шулаков;Артём;Аркадиевич;Индия;1982-05-20
915;Пенезева;Алёна;Валерьевна;Дания;1991-10-15
916;Дирдовская;Валентина;Николаевна;Грузия;1984-01-16
917;Гулюшкин;Василий;Сергеевич;Аргентина;1991-09-20
918;Верептин;Юрий;Леонидович;Турция;1985-05-06
919;Яурова;Елена;Егоровна;Аргентина;1997-03-29
920;Абалуев;Степан;Максимович;Непал;1989-05-31
921;Ломаносова;Яна;Егоровна;Новая Зеландия;1980-07-08
922;Пилякин;Андрей;Игоревич;Вануату;1997-11-19
923;Помятихин;Эдуард;Борисович;Словения;1994-01-10
924;Шилаева;Маргарита;Кирилловна;Сенегал;1983-03-18
925;Корнишин;Павел;Романович;Таиланд;1995-12-01
926;Шилинкова;Анастасия;Валерьевна;Черногория;1974-02-17
927;Акопов;Никита;Георгиевич;Эстония;1975-01-31
928;Моторкина;Дарья;Максимовна;Хорватия;1989-06-21
929;Вардашкин;Яков;Виталиевич;Канада;1977-03-20
930;Набилков;Эдуард;Фёдорович;Сент-Люсия;1988-05-28
931;Иуриманов;Артур;Георгиевич;Сингапур;1976-01-22
932;Копецкая;Инна;Никитична;Ямайка;1995-05-28
933;Пучинин;Илья;Игоревич;КНДР;1972-06-28
934;Гирунова;Виолетта;Василевна;Коста-Рика;1977-04-17
935;Гавришина;Софья;Евгеньевна;Аргентина;1985-10-17
936;Цавелева;Юлия;Яковлевна;Китай;1984-03-20
937;Кедрова;Алла;Борисовна;Новая Зеландия;1986-05-23
938;Егупова;Наталья;Евгеньевна;Сербия;1973-05-05
939;Заверский;Иван;Петрович;Малайзия;1984-08-21
940;Керакотова;Раиса;Василевна;Лихтенштейн;1991-07-09
941;Рянцева;Оксана;Алексеевна;Ангола;1991-10-22
942;Дударов;Аркадий;Алексеевич;Венесуэла;1992-11-17
943;Антонихина;Валентина;Дмитриевна;Мальта;1988-06-06
944;Любельская;Ксения;Романовна;Молдавия;1991-05-11
945;Манжиков;Артём;Алексеевич;Венгрия;1974-09-22
946;Провидова;Карина;Николаевна;Южный Судан;1998-10-15
947;Нищева;Маргарита;Алексеевна;Великобритания;1982-06-08
948;Машевикина;Алла;Андреевна;Филиппины;1997-01-12
949;Щубикин;Альберт;Максимович;Сенегал;1996-05-31
950;Палюлина;Любовь;Петровна;Кипр;1999-10-06
951;Покотилова;Александра;Леонидовна;Уганда;1994-06-04
952;Чекашкин;Олег;Тимофеевич;Багамские Острова;1997-09-11
953;Почиткина;Инна;Михайловна;Науру;1983-03-19
954;Чуносова;Ксения;Егоровна;Вануату;1999-05-31
955;Корнева;Кира;Аркадьевна;Барбадос;1998-02-20
956;Куричев;Артём;Данилович;Италия;1982-09-09
957;Батугина;Екатерина;Олеговна;Сан-Марино;1980-08-22
958;Дудунов;Владимир;Леонидович;Габон;1991-06-07
959;Качкаева;Наталия;Яковлевна;Ирак;1980-10-06
960;Нечеев;Никита;Михаилович;Польша;1981-08-30
961;Кагин;Ярослав;Павлович;Исландия;1999-12-19
962;Леоненкова;Ксения;Богдановна;Лесото;1996-01-22
963;Королина;Марина;Михайловна;Франция;1977-09-28
964;Масакин;Кирилл;Адамович;Уганда;1975-09-10
965;Ахкозова;София;Вадимовна;Кения;1975-06-05
966;Ненахова;Елизавета;Леонидовна;Кот-д’Ивуар;1997-01-27
967;Карачарова;Виолетта;Олеговна;Россия;1991-12-17
968;Евленков;Геннадий;Андреевич;Исландия;1973-11-19
969;Бутарыгина;Мария;Никитична;Италия;1984-02-26
970;Феноменов;Георгий;Тимофеевич;Мальдивы;1997-05-19
971;Опоцкий;Анатолий;Олегович;Бельгия;1982-12-18
972;Бажутин;Леонид;Алексеевич;Ботсвана;1984-06-29
973;Масагутова;Ольга;Максимовна;Суринам;1973-02-15
974;Клеклин;Борис;Леонидович;Эстония;1995-06-25
975;Алтасина;Софья;Егоровна;Северная Македония;1991-07-23
976;Хоревин;Вячеслав;Борисович;Франция;1987-12-24
977;Щепетьев;Герасим;Виталиевич;Великобритания;1981-01-06
978;Тирюткина;Ксения;Михайловна;Сан-Марино;1986-06-07
979;Олескин;Ярослав;Алексеевич;Таджикистан;1987-02-09
980;Кладничкин;Павел;Георгиевич;Доминиканская Республика;1996-01-18
981;Кинасов;Ярослав;Игоревич;Сейшельские Острова;1993-09-27
982;Щебеткина;Алла;Андреевна;Судан;1973-12-14
983;Халамова;Алена;Викторовна;Ирландия;1987-04-19
984;Никшина;Софья;Олеговна;Ботсвана;1980-07-14
985;Железняков;Григорий;Николаевич;Сейшельские Острова;1992-08-15
986;Авсюшина;Евгения;Богдановна;Аргентина;1994-09-07
987;Мирушова;Виктория;Аркадьевна;Багамские Острова;1989-12-30
988;Хамицаева;Надежда;Яковлевна;Сейшельские Острова;1990-11-25
989;Климешина;Полина;Олеговна;Венгрия;1992-12-05
990;Мозжилов;Олег;Яковлевич;Сирия;1996-11-05
991;Хатенкова;Александра;Евгеньевна;Фиджи;1972-08-22
992;Летутина;Алиса;Михайловна;Бруней;1996-10-27
993;Саличев;Павел;Михаилович;Куба;1986-06-23
994;Смачкова;Марина;Леонидовна;Латвия;1975-04-29
995;Арчунова;Наталия;Кирилловна;Норвегия;1975-03-02
996;Самин;Вячеслав;Романович;Центральноафриканская Республика;1996-09-11
997;Доротова;Елена;Леонидовна;Маршалловы Острова;1989-06-21
998;Бабкин;Виталий;Борисович;Мальдивы;1986-06-27
999;Лодырева;Полина;Петровна;Самоа;1982-07-14
1000;Китаев;Антон;Антонович;Бангладеш;1995-05-04
