id;surname;name;patronymic;citizenship;date_of_birth;id_sc
817;Аджиев;Николай;Тимофеевич;Йемен;1988-10-31;438
818;Канурский;Виталий;Юрьевич;Кипр;1981-12-07;389
819;Кобыльская;Дарья;Евгеньевна;Науру;1992-08-18;379
820;Подзиоев;Вадим;Николаевич;Буркина-Фасо;1989-02-28;466
821;Каляйчева;Маргарита;Ивановна;Перу;1990-08-23;408
822;Суетникова;Валентина;Леонидовна;Армения;1996-12-25;567
823;Закаталова;Оксана;Романовна;Белиз;1985-04-29;815
824;Дурыгин;Евгений;Василиевич;Мадагаскар;1978-04-08;718
825;Левантин;Георгий;Михаилович;Либерия;1994-05-11;945
826;Юшковская;Виктория;Алексеевна;Португалия;1988-02-21;643
827;Веллин;Андрей;Кириллович;Бруней;1994-03-27;841
828;Хромулева;Ирина;Никитична;Хорватия;1980-04-10;790
829;Костышкин;Валентин;Тимофеевич;Гватемала;1984-03-09;753
830;Айдин;Павел;Аркадиевич;Тувалу;1983-02-14;38
831;Ахшарумова;Вероника;Борисовна;Латвия;1981-07-04;144
832;Дзарагасов;Олег;Тимофеевич;Латвия;1990-08-04;765
833;Нешамова;Клара;Федоровна;Монголия;1977-08-04;588
834;Долбакин;Валерий;Михаилович;Нидерланды;1994-05-08;753
835;Шатынов;Герасим;Василиевич;КНДР;1979-09-05;405
836;Ивинкова;Маргарита;Игоревна;Канада;1986-10-26;254
837;Гатчинский;Эдуард;Кириллович;Словакия;1994-05-20;437
838;Лихоманова;Анна;Богдановна;Парагвай;1977-12-23;721
839;Ведешина;Вера;Валерьевна;Гана;1988-04-15;573
840;Кулешев;Артур;Аркадиевич;Палау;1980-07-09;151
841;Косицына;Юлия;Алексеевна;КНДР;1987-09-12;335
842;Нежданов;Станислав;Юрьевич;Азербайджан;1992-05-17;205
843;Косираева;Раиса;Василевна;Афганистан;1977-02-22;607
844;Мурныков;Степан;Василиевич;Папуа;1991-04-07;957
845;Сивов;Семён;Алексеевич;Молдавия;1986-07-22;249
846;Чирина;Наталия;Вадимовна;Гвинея;1992-11-26;854
847;Лобызов;Ярослав;Леонидович;Ливан;1994-08-03;426
848;Шарликова;Кристина;Никитична;Словения;1993-03-25;57
849;Мальтисов;Артур;Юрьевич;Мали;1998-07-01;641
850;Ременькова;Катерина;Богдановна;Центральноафриканская Республика;1973-07-03;986
851;Жабборова;Яна;Ивановна;Сан-Томе и Принсипи;1988-09-25;457
852;Гадиров;Константин;Иванович;Гамбия;1998-05-04;613
853;Ковардаков;Валентин;Андреевич;Багамские Острова;1977-07-07;566
854;Васюткин;Артём;Яковлевич;Мальта;1984-07-26;91
855;Дорошкина;Лиза;Кирилловна;Маршалловы Острова;1992-05-30;909
856;Бизгаева;Евгения;Леонидовна;Бруней;1993-04-25;766
857;Сытинова;Инна;Игоревна;Киргизия;1993-02-17;396
858;Дубикина;Софья;Петровна;Монако;1991-11-02;69
859;Печелкина;Полина;Михайловна;Индия;1990-07-22;59
860;Косявкин;Ярослав;Романович;Сирия;1988-07-05;739
861;Ромашихин;Олег;Данилович;Гренада;1978-07-27;459
862;Павленков;Валерий;Валериевич;Камбоджа;1990-07-08;193
863;Шорманова;Елена;Кирилловна;Республика Корея;1993-08-17;976
864;Колонова;Валерия;Яковлевна;Италия;1985-09-19;610
865;Покромкин;Яков;Аркадиевич;Португалия;1984-01-21;831
866;Мамаев;Артём;Евгеньевич;Ливия;1992-06-05;866
867;Захарейкин;Ярослав;Петрович;Габон;1975-10-03;878
868;Калигин;Александр;Антонович;Фиджи;1979-05-03;494
869;Семковская;Ольга;Кирилловна;Восточный Тимор;1992-01-11;203
870;Франова;Надежда;Василевна;Великобритания;1973-08-02;275
871;Пьяньшева;Катерина;Николаевна;Словакия;1985-10-03;246
872;Енгашева;Александра;Сергеевна;Тринидад и Тобаго;1975-12-21;238
873;Пискотин;Михаил;Павлович;Джибути;1975-10-22;197
874;Вотрина;Светлана;Алексеевна;Италия;1994-11-12;61
875;Юдачева;Инна;Николаевна;Экваториальная Гвинея;1987-01-26;8
876;Делиева;Ольга;Никитична;Вьетнам;1992-11-15;225
877;Фектуллина;Карина;Яковлевна;Доминиканская Республика;1988-08-04;791
878;Добоцкая;Людмила;Сергеевна;Нигер;1973-03-01;386
879;Грабарский;Юрий;Аркадиевич;Литва;1982-09-04;113
880;Цецарцев;Вячеслав;Фёдорович;Гондурас;1978-04-13;448
881;Астапова;Алена;Андреевна;Ливия;1974-04-13;782
882;Феногенова;Любовь;Петровна;Франция;1976-11-05;146
883;Саин;Герасим;Алексеевич;Гвинея;1988-08-08;529
884;Ивагина;Анастасия;Романовна;Кения;1990-06-15;727
885;Зудакина;Раиса;Михайловна;Болгария;1980-03-24;713
886;Клипичева;Инна;Федоровна;Италия;1978-06-28;989
887;Карнюшкина;Софья;Олеговна;Буркина-Фасо;1993-12-31;851
888;Князятов;Дмитрий;Викторович;Армения;1984-04-24;580
889;Жобылева;Карина;Василевна;Вьетнам;1976-08-31;186
890;Бушменкова;Ольга;Валерьевна;Туркмения;1985-01-26;538
891;Гузенин;Игорь;Фёдорович;Мексика;1986-03-27;55
892;Привальнев;Вадим;Евгеньевич;Джибути;1996-06-04;3
893;Ганкина;Алена;Кирилловна;Сейшельские Острова;1994-12-21;500
894;Клопышкин;Олег;Виталиевич;Сан-Томе и Принсипи;1982-03-28;912
895;Скалацкая;Полина;Андреевна;Белиз;1997-10-16;664
896;Мерканова;Кира;Игоревна;Финляндия;1973-05-09;379
897;Бизаева;Ева;Максимовна;Багамские Острова;1997-01-22;270
898;Лекарев;Виталий;Евгеньевич;Южный Судан;1999-05-29;835
899;Цымкалова;Мария;Романовна;Белиз;1990-12-24;700
900;Комягина;Кристина;Михайловна;Германия;1978-04-28;467
901;Сиксясов;Максим;Сергеевич;Монако;1995-03-03;811
902;Налогин;Вадим;Петрович;Марокко;1995-10-30;985
903;Хусаиншина;Александра;Эдуардовна;Новая Зеландия;1989-10-08;262
904;Коромыслов;Борис;Николаевич;Эквадор;1975-11-09;375
905;Ладырева;Ольга;Богдановна;Польша;1977-12-26;81
906;Журонов;Григорий;Антонович;Боливия;1972-09-15;881
907;Пупынина;Тамара;Яковлевна;Соломоновы Острова;1983-08-06;580
908;Кишкарева;Валентина;Олеговна;Таиланд;1998-01-16;587
909;Юнкин;Григорий;Георгиевич;Марокко;1979-03-14;402
910;Куварина;Ева;Богдановна;Науру;1989-09-18;842
911;Кулибянова;Валерия;Максимовна;Мальдивы;1972-11-15;363
912;Максутов;Николай;Тимофеевич;Иран;1974-02-06;355
913;Ишакова;Наталия;Алексеевна;Чехия;1987-08-28;273
914;Коцелябнов;Федор;Леонидович;Мексика;1973-12-13;5
915;Очелкова;Клара;Валерьевна;Малайзия;1981-03-16;386
916;Канарулин;Степан;Викторович;Украина;1977-04-24;540
917;Прибылов;Владимир;Иванович;Панама;1986-12-08;447
918;Маслацова;Валерия;Кирилловна;Ливан;1981-08-22;451
919;Рожинский;Михаил;Денисович;Аргентина;1999-02-19;302
920;Подтесова;София;Борисовна;Пакистан;1997-12-23;139
921;Горянкова;Ольга;Олеговна;Катар;1987-06-04;562
922;Масаликин;Кирилл;Михаилович;Либерия;1985-01-08;536
923;Берсанова;Алёна;Николаевна;Таджикистан;1982-03-28;697
924;Курилина;Дарья;Алексеевна;Нигерия;1997-04-29;193
925;Каптюшин;Валентин;Вадимович;Камерун;1984-06-15;34
926;Перимов;Виктор;Василиевич;Судан;1995-07-22;89
927;Плющиков;Борис;Данилович;Китай;1997-10-10;63
928;Болдинский;Федор;Яковлевич;Кабо-Верде;1999-11-26;633
929;Ащанов;Роман;Данилович;Болгария;1991-12-14;370
930;Бидердинов;Станислав;Сергеевич;Кипр;1977-04-27;433
931;Этчина;Инна;Алексеевна;Сент-Китс и Невис;1990-01-06;438
932;Частоедов;Дмитрий;Леонидович;Гана;1976-02-09;55
933;Атамахина;Наталья;Борисовна;Монголия;1991-10-14;229
934;Атдотова;Алиса;Никитична;Норвегия;1993-11-17;526
935;Гришанова;София;Игоревна;Марокко;1995-12-30;573
936;Марандова;Карина;Егоровна;Буркина-Фасо;1986-03-01;953
937;Рукоданов;Михаил;Петрович;Сент-Винсент и Гренадины;1973-09-10;376
938;Рычев;Александр;Антонович;Словакия;1972-01-18;822
939;Мурикова;Анна;Михайловна;Кабо-Верде;1984-10-29;832
940;Бытеева;Вероника;Ивановна;Египет;1988-11-13;885
941;Оводова;Анна;Максимовна;Италия;1988-08-11;811
942;Ентаев;Илья;Петрович;Ирландия;1990-12-28;758
943;Цыплукова;Ирина;Алексеевна;Тунис;1985-12-13;108
944;Филаев;Григорий;Георгиевич;Эфиопия;1992-10-11;626
945;Веденкин;Денис;Евгеньевич;Таиланд;1985-10-18;693
946;Матырский;Юрий;Валериевич;Руанда;1996-04-12;776
947;Юрченев;Пётр;Юрьевич;США;1982-03-28;386
948;Банчиков;Дмитрий;Михаилович;Австралия;1992-01-07;678
949;Пунов;Александр;Борисович;Филиппины;1997-09-24;931
950;Белехов;Пётр;Георгиевич;Бенин;1998-05-19;805
951;Дупляков;Михаил;Яковлевич;Бангладеш;1998-04-29;318
952;Бесцетнов;Дмитрий;Тимофеевич;Таджикистан;1996-01-17;472
953;Вьюшков;Федор;Романович;Кирибати;1982-02-20;134
954;Кондрюков;Геннадий;Антонович;Кабо-Верде;1992-08-23;493
955;Шнакова;Карина;Николаевна;Тувалу;1984-07-24;83
956;Баженина;Катерина;Игоревна;Малави;1977-05-13;137
957;Бакашова;Алёна;Романовна;Албания;1972-03-28;173
958;Камчадалов;Артур;Антонович;Кот-д’Ивуар;1994-06-23;908
959;Чекалов;Константин;Михаилович;Доминика;1991-03-05;160
960;Каукин;Валентин;Аркадиевич;Гватемала;1975-10-15;664
961;Чоботова;Светлана;Сергеевна;Антигуа и Барбуда;1976-04-19;193
962;Минюков;Антон;Андреевич;Саудовская Аравия;1994-04-19;505
963;Эйбатов;Павел;Кириллович;Россия;1987-09-12;960
964;Кандрашова;Надежда;Богдановна;Непал;1989-10-12;182
965;Батылин;Владислав;Василиевич;Сербия;1982-07-23;496
966;Трещинкина;Алина;Яковлевна;Болгария;1972-11-08;935
967;Панамарева;Тамара;Аркадьевна;Панама;1996-12-06;413
968;Завалшина;Тамара;Олеговна;Албания;1997-08-26;625
969;Сидеков;Георгий;Михаилович;Индия;1982-01-17;560
970;Елхов;Яков;Максимович;Таиланд;1982-04-24;732
971;Тряпичкина;Светлана;Петровна;Азербайджан;1977-01-27;812
972;Бигулаев;Денис;Виталиевич;Доминиканская Республика;1991-01-02;283
973;Арифметова;Тамара;Максимовна;Сент-Китс и Невис;1984-07-22;324
974;Мелова;Маргарита;Викторовна;Венгрия;1975-05-17;883
975;Норинова;Кира;Викторовна;Португалия;1979-07-18;372
976;Игумнов;Игорь;Алексиевич;Нигер;1981-12-15;367
977;Храмушева;Зинаида;Николаевна;Иордания;1974-01-08;883
978;Раздобаров;Владимир;Евгеньевич;Малави;1986-04-07;806
979;Посевкин;Михаил;Юрьевич;Китай;1983-09-08;11
980;Габитов;Анатолий;Валериевич;Малави;1984-04-25;609
981;Засохлина;Анастасия;Игоревна;Португалия;1975-03-16;912
982;Чинарихина;Виктория;Петровна;Венгрия;1980-02-02;459
983;Базельцева;Клара;Вадимовна;Доминика;1978-04-05;375
984;Тишенинов;Альберт;Адамович;США;1984-01-15;108
985;Копинков;Аркадий;Алексеевич;Мозамбик;1973-02-19;890
986;Пардонов;Руслан;Василиевич;Гондурас;1987-11-28;160
987;Микуцкая;Евгения;Михайловна;Сан-Марино;1987-11-18;737
988;Бекин;Денис;Игоревич;Иран;1981-12-02;657
989;Катешова;Раиса;Романовна;Бразилия;1984-12-03;156
990;Лепшеева;Лариса;Николаевна;Гватемала;1997-01-11;222
991;Залкиев;Григорий;Максимович;Гайана;1977-04-18;439
992;Катчиев;Кирилл;Юриевич;Сенегал;1987-01-20;739
993;Лошкомоева;Тамара;Максимовна;Федеративные Штаты Микронезии;1997-02-09;118
994;Сахин;Константин;Павлович;Габон;1975-11-05;347
995;Куньева;Надежда;Валерьевна;Танзания;1991-06-09;838
996;Карликова;Кристина;Никитична;Камерун;1991-07-21;688
997;Беренгилов;Герасим;Викторович;Мексика;1982-02-08;526
998;Писков;Василий;Игоревич;Алжир;1991-02-02;142
999;Маруненков;Борис;Петрович;Маврикий;1993-07-23;680
1000;Пулушкина;Алина;Дмитриевна;Демократическая Республика Конго;1982-05-07;953
