surname;name;patronymic;citizenship;date_of_birth;id_sc
Валтегрова;Алина;Ивановна;Япония;1990-08-24;678
Филозопов;Кирилл;Аркадиевич;Лесото;1985-01-09;513
Дубинов;Павел;Фёдорович;Буркина-Фасо;1987-11-09;565
Орешкин;Альберт;Иванович;Эквадор;1986-12-23;950
Светочков;Геннадий;Сергеевич;Азербайджан;1973-06-25;720
Ворнаков;Василий;Данилович;Лихтенштейн;1979-03-02;683
Новиницкий;Никита;Аркадиевич;Гондурас;1994-03-05;371
Инжуватов;Евгений;Георгиевич;Доминиканская Республика;1983-12-30;905
Тимирязева;Евгения;Леонидовна;Албания;1979-02-14;990
Бродовская;Надежда;Яковлевна;Иран;1991-10-22;477
Бурыблин;Николай;Иванович;Либерия;1991-08-02;718
Пополитова;Евгения;Игоревна;Египет;1973-06-18;599
Кучишкина;Вера;Дмитриевна;Израиль;1991-02-08;590
Тотубалин;Руслан;Андреевич;Габон;1974-05-09;794
Гончаров;Эдуард;Денисович;Лесото;1984-12-30;952
Гогунская;Наталья;Леонидовна;Латвия;1984-08-10;325
Илюшин;Роман;Денисович;Либерия;1978-04-23;746
Мазикин;Ярослав;Кириллович;Мозамбик;1980-04-24;42
Подлиняев;Тарас;Михаилович;Кирибати;1993-09-15;800
Омеров;Семён;Данилович;Судан;1986-04-21;479
Реджепова;Катерина;Николаевна;Гондурас;1992-03-08;725
Волошкин;Никита;Антонович;Гана;1977-05-18;975
Инушова;Екатерина;Евгеньевна;Сан-Марино;1979-01-05;720
Ахарова;Клара;Федоровна;Узбекистан;1996-07-21;19
Ламешин;Олег;Павлович;Норвегия;1975-02-14;884
Избищин;Виктор;Тимофеевич;Германия;1992-02-12;303
Аляров;Максим;Алексеевич;Австрия;1976-11-28;435
Орышков;Герасим;Василиевич;Северная Македония;1992-07-16;128
Бычихина;Алиса;Олеговна;Федеративные Штаты Микронезии;1989-08-03;718
Клименцова;Людмила;Богдановна;КНДР;1994-05-18;199
Спарыхина;Любовь;Сергеевна;Мексика;1986-01-05;133
Вепева;Кристина;Николаевна;Литва;1985-03-25;857
Финикова;Александра;Евгеньевна;Словения;1973-01-06;969
Мухамадеев;Василий;Георгиевич;Тунис;1979-05-24;320
Аббасова;Ирина;Борисовна;Туркмения;1996-02-27;800
Любатуров;Эдуард;Евгеньевич;Андорра;1993-01-13;144
Ловырев;Герасим;Сергеевич;Намибия;1981-10-14;517
Татухова;Вера;Сергеевна;Греция;1980-01-08;197
Асланов;Юрий;Юриевич;Палау;1984-03-08;336
Друндина;Мария;Богдановна;Туркмения;1972-05-12;874
Гарнушин;Александр;Адамович;Гвинея-Бисау;1978-02-20;420
Бронцева;Наталия;Дмитриевна;Великобритания;1992-08-14;400
Битаров;Максим;Юриевич;Лаос;1999-04-21;474
Некритов;Михаил;Борисович;Черногория;1985-07-04;648
Служаков;Иван;Георгиевич;Словения;1985-12-12;902
Зева;Тамара;Кирилловна;Австралия;1997-09-25;381
Перстнев;Тарас;Яковлевич;Нигерия;1974-01-02;773
Чупарин;Александр;Викторович;Аргентина;1980-10-02;771
Стружикова;Жанна;Петровна;Маврикий;1985-07-25;284
Карабаева;Алена;Василевна;Мальдивы;1978-12-10;607
Ариночкина;Галина;Романовна;Эсватини;1995-12-01;23
Саядова;Жанна;Андреевна;Туркмения;1997-01-01;959
Брчева;Ольга;Эдуардовна;Монголия;1993-07-29;340
Бубчиков;Герасим;Викторович;Малави;1997-10-11;627
Купырев;Валентин;Фёдорович;Экваториальная Гвинея;1980-11-10;283
Муракова;Софья;Федоровна;Сейшельские Острова;1988-01-26;31
Американов;Борис;Петрович;Филиппины;1981-11-08;252
Посленкин;Валерий;Кириллович;Сент-Китс и Невис;1975-07-16;905
Будлянский;Альберт;Андреевич;Эритрея;1992-07-21;517
Сафошкин;Дмитрий;Тимофеевич;Германия;1981-11-21;923
Стрыков;Валентин;Яковлевич;Фиджи;1991-02-02;347
Евшаков;Борис;Михаилович;Босния и Герцеговина;1986-01-08;718
Щигалева;Катерина;Петровна;Марокко;1984-03-29;312
Терпенова;Александра;Михайловна;Швейцария;1997-12-03;308
Коросткина;Марина;Аркадьевна;Ирак;1983-07-12;626
Славицкая;Клавдия;Андреевна;Марокко;1999-08-27;439
Тадеев;Константин;Юрьевич;Тувалу;1989-08-15;181
Джунусова;Алена;Егоровна;Руанда;1980-08-11;419
Овечников;Станислав;Олегович;Белоруссия;1991-03-16;428
Идиатулин;Денис;Данилович;Киргизия;1973-02-17;528
Яфанова;Людмила;Федоровна;Исландия;1999-12-24;310
Иммореев;Федор;Михаилович;Бенин;1990-02-19;59
Твеленова;Маргарита;Евгеньевна;Восточный Тимор;1996-11-14;879
Паршуткина;Елена;Егоровна;Бенин;1992-04-23;525
Рамокова;Софья;Яковлевна;Мавритания;1999-04-01;633
Каланчин;Никита;Петрович;Гамбия;1994-12-10;41
Углицких;Наталья;Егоровна;Ливия;1984-03-22;946
Ванинская;Алена;Андреевна;Ангола;1983-05-07;275
Упиров;Владислав;Юриевич;Уругвай;1987-03-12;328
Мятин;Ярослав;Леонидович;Бруней;1983-07-03;195
Петрунев;Кирилл;Юрьевич;Камерун;1988-06-09;923
Шулепов;Вадим;Иванович;Непал;1979-07-20;407
Юшицын;Георгий;Вадимович;Сан-Марино;1992-11-23;337
Бахелов;Александр;Иванович;Суринам;1972-08-15;301
Баровкова;Алиса;Ивановна;Австрия;1995-05-28;315
Сепатова;Любовь;Борисовна;Нидерланды;1985-09-19;832
Арямнова;Любовь;Аркадьевна;Непал;1998-09-28;195
Алдаев;Павел;Викторович;Оман;1991-05-07;809
Дураничев;Илья;Алексеевич;Гондурас;1981-01-10;836
Сыражев;Степан;Алексеевич;Коморы;1999-05-07;220
Левшунов;Леонид;Василиевич;Тонга;1990-09-19;427
Паксуева;Вероника;Романовна;Маршалловы Острова;1988-01-31;182
Латюгин;Константин;Аркадиевич;Гренада;1984-03-25;254
Пойлевин;Артур;Тимофеевич;Португалия;1984-06-16;973
Шилтайкин;Иван;Сергеевич;Куба;1993-06-24;985
Сесявина;Галина;Викторовна;Судан;1978-08-05;901
Грушнева;Виктория;Федоровна;Мальдивы;1973-09-03;939
Шкулин;Владислав;Василиевич;Казахстан;1988-10-20;704
Волкоедова;Марина;Евгеньевна;Туркмения;1973-03-09;525
Шришина;Юлия;Олеговна;Исландия;1977-07-09;750
Кутнов;Михаил;Валериевич;Хорватия;1990-01-05;466
Рыжакова;Оксана;Николаевна;Доминика;1984-12-05;903
Клих;Кира;Аркадьевна;Австралия;1976-11-06;46
Кленкова;Виолетта;Дмитриевна;ОАЭ;1999-10-04;600
Лабунин;Иван;Виталиевич;Палау;1992-09-11;304
Пеношин;Владимир;Данилович;Франция;1987-12-18;647
Голкова;Клара;Эдуардовна;Сальвадор;1991-06-20;74
Тюльнинова;Евгения;Максимовна;Вануату;1997-10-22;799
Ельшанов;Леонид;Евгеньевич;Сьерра-Леоне;1989-07-04;672
Панталева;Алена;Богдановна;Экваториальная Гвинея;1980-03-15;144
Яглова;Софья;Викторовна;Бахрейн;1985-07-02;926
Климцова;Кира;Викторовна;Италия;1987-10-13;158
Соваков;Федор;Виталиевич;Эстония;1974-06-05;343
Верешеева;Яна;Романовна;Узбекистан;1992-07-24;945
Гашилов;Александр;Иванович;Сент-Люсия;1973-02-25;73
Ледников;Федор;Андреевич;Нигерия;1988-10-10;64
Джурихин;Виталий;Вадимович;Коморы;1987-11-27;621
Гражинский;Борис;Данилович;ЮАР;1974-10-06;743
Циброва;Анна;Никитична;Восточный Тимор;1994-06-09;733
Любарская;Евгения;Яковлевна;Тринидад и Тобаго;1987-01-11;992
Ицкина;Яна;Никитична;Кирибати;1996-11-20;938
Янгирова;София;Эдуардовна;Того;1979-10-10;508
Фадина;Кира;Кирилловна;Эфиопия;1994-09-01;433
Слабинская;Светлана;Романовна;Республика Корея;1983-07-01;192
