surname;name;patronymic;citizenship;date_of_birth
Размазова;Вера;Леонидовна;Зимбабве;1974-09-07
Чиндушкина;Софья;Аркадьевна;Мозамбик;1991-02-17
Яровская;Наталья;Егоровна;Ямайка;1997-06-22
Куреленков;Герасим;Вадимович;Самоа;1992-09-01
Зиякаев;Денис;Иванович;Бруней;1993-01-25
Минушкин;Илья;Аркадиевич;Таиланд;1972-03-08
Колецкий;Артём;Алексиевич;Польша;1976-06-15
Мазанкин;Федор;Георгиевич;Индия;1984-01-27
Храмченкин;Илья;Василиевич;Сомали;1986-11-25
Абалакин;Михаил;Адамович;Кипр;1992-09-27
Нурова;Вероника;Сергеевна;Панама;1987-02-02
Нестеркин;Владислав;Петрович;Палау;1980-03-11
Кривуцова;Галина;Леонидовна;Новая Зеландия;1995-06-08
Ларешин;Руслан;Алексиевич;Норвегия;1985-07-04
Волженская;Наталья;Кирилловна;Албания;1989-07-27
Голобурдин;Анатолий;Тимофеевич;Танзания;1975-12-14
Камионская;Карина;Федоровна;Мальта;1984-09-30
Сдобнов;Артур;Олегович;Тринидад и Тобаго;1978-09-16
Рыльских;Ирина;Михайловна;Грузия;1975-07-22
Криваскина;Галина;Максимовна;Австрия;1990-04-09
Никиктина;Алёна;Петровна;Бельгия;1980-09-23
Лутьянова;Елена;Кирилловна;Швейцария;1997-02-07
Пытков;Павел;Петрович;Португалия;1974-06-11
Абрезякова;Полина;Аркадьевна;Сенегал;1973-12-10
Трыкалкин;Тарас;Николаевич;Бангладеш;1987-10-07
Настехин;Юрий;Сергеевич;Таджикистан;1993-11-16
Жмаев;Виктор;Петрович;Того;1993-09-20
Кофейников;Никита;Борисович;Габон;1981-11-20
Керин;Семён;Виталиевич;Антигуа и Барбуда;1992-12-21
Образков;Михаил;Валериевич;Тонга;1993-05-29
Иляхин;Владислав;Леонидович;Катар;1989-02-21
Мясоведова;Екатерина;Петровна;Федеративные Штаты Микронезии;1985-06-18
Сорбугаев;Роман;Сергеевич;Ямайка;1992-08-28
Цурмилова;Карина;Аркадьевна;Литва;1980-10-10
Калямова;Оксана;Николаевна;Аргентина;1979-11-23
Лисеева;Маргарита;Ивановна;Самоа;1975-02-25
Огурцов;Андрей;Адамович;Иран;1973-03-08
Нечуятова;Марина;Вадимовна;Россия;1985-05-27
Зараев;Станислав;Вадимович;Ботсвана;1975-11-06
Девлетова;Светлана;Никитична;Камерун;1977-04-10
Фуритова;Мария;Дмитриевна;Азербайджан;1981-05-19
Удалкина;Алёна;Вадимовна;Бахрейн;1985-12-31
Завизина;Дарья;Сергеевна;Сьерра-Леоне;1988-02-25
Нигдина;Вера;Вадимовна;Мексика;1996-10-10
Жибоедов;Виталий;Денисович;Норвегия;1974-12-02
Шарлапов;Вячеслав;Иванович;Швеция;1975-11-30
Платашева;Софья;Ивановна;Мексика;1988-03-02
Комстачева;Кира;Ивановна;Замбия;1986-11-18
Лохматиков;Тарас;Кириллович;Пакистан;1987-05-20
Киваева;Евгения;Андреевна;Люксембург;1987-09-24
Пудов;Василий;Борисович;Хорватия;1984-09-21
Вонилина;Ксения;Кирилловна;Андорра;1987-06-19
Глембоцкий;Федор;Николаевич;Сан-Марино;1975-12-10
Ронкин;Виталий;Андреевич;США;1994-08-18
Санданова;Кристина;Евгеньевна;Лихтенштейн;1980-12-10
Эсипов;Николай;Юрьевич;Португалия;1997-07-18
Солонцев;Андрей;Павлович;Марокко;1981-03-20
Маскаев;Иван;Андреевич;Сан-Марино;1983-08-02
Обносов;Олег;Евгеньевич;Норвегия;1992-07-19
Дикарев;Александр;Василиевич;Индонезия;1985-03-18
Екенина;Зинаида;Олеговна;Барбадос;1986-01-12
Карулина;Светлана;Алексеевна;Гондурас;1999-03-07
Муцкая;Надежда;Сергеевна;Судан;1991-12-27
Ловковский;Павел;Фёдорович;Фиджи;1985-03-04
Киндяков;Олег;Фёдорович;Центральноафриканская Республика;1988-03-11
Вавинов;Илья;Яковлевич;Швеция;1992-02-01
Филеев;Валерий;Антонович;Камерун;1986-10-28
Хлапова;Галина;Дмитриевна;Самоа;1990-01-02
Ваюкина;Яна;Егоровна;Кабо-Верде;1975-01-23
Созинов;Геннадий;Николаевич;Польша;1995-12-16
Несыпова;Наталья;Евгеньевна;Кувейт;1989-06-13
Малюшев;Никита;Тимофеевич;Кирибати;1989-01-02
Сухогузов;Яков;Георгиевич;Лесото;1975-01-30
Подвязнов;Пётр;Игоревич;Южный Судан;1976-09-19
Ноздрунова;Виолетта;Алексеевна;Аргентина;1985-07-13
Эрикаева;Полина;Богдановна;Венесуэла;1999-04-27
